CONTINENT,NATION,LEAGUE,CITY
South America,Brazil,Campeonato 3,São Bernardo do Campo
South America,Brazil,Campeonato 3,Duque de Caxias
South America,Brazil,Campeonato 3,Nova Iguaçu
South America,Brazil,Campeonato 3,Natal
South America,Brazil,Campeonato 3,Santo André
South America,Brazil,Campeonato 3,Osasco
South America,Brazil,Campeonato 3,Sorocaba
South America,Brazil,Campeonato 3,Uberlândia
South America,Brazil,Campeonato 3,Ribeirão Preto
South America,Brazil,Campeonato 3,São José dos Campos
South America,Brazil,Backup,Cuiabá
South America,Brazil,Backup,Jaboatão dos Guararapes
South America,Brazil,Backup,Contagem
South America,Argentina,Division 1,Buenos Aires
South America,Argentina,Division 1,Córdoba
South America,Argentina,Division 1,Rosario
South America,Argentina,Division 1,La Plata
South America,Argentina,Division 1,Mar del Plata
South America,Argentina,Division 1,San Miguel de Tucumán
South America,Argentina,Division 1,Salta
South America,Argentina,Division 1,Santa Fe de la Vera Cruz
South America,Argentina,Division 1,Vicente López Partido
South America,Argentina,Division 1,Corrientes
South America,Argentina,Division 2,Pilar
South America,Argentina,Division 2,Bahía Blanca
South America,Argentina,Division 2,Resistencia
South America,Argentina,Division 2,Posadas
South America,Argentina,Division 2,San Salvador de Jujuy
South America,Argentina,Division 2,Santiago del Estero
South America,Argentina,Division 2,Paraná
South America,Argentina,Division 2,Merlo
South America,Argentina,Division 2,Neuquén
South America,Argentina,Division 2,Quilmes
South America,Argentina,Division 3,Banfield
South America,Argentina,Division 3,Formosa
South America,Argentina,Division 3,José C. Paz
South America,Argentina,Division 3,Lanús
South America,Argentina,Division 3,Godoy Cruz
South America,Argentina,Division 3,Las Heras
South America,Argentina,Division 3,La Rioja
South America,Argentina,Division 3,Gregorio de Laferrère
South America,Argentina,Division 3,Comodoro Rivadavia
South America,Argentina,Division 3,San Luis
South America,Argentina,Backup,Ituzaingó
South America,Argentina,Backup,Berazategui
South America,Argentina,Backup,González Catán
